"FLEX_VALUE";"DESCRIPTION";"FLEX_VALUE||'00'";"DESCRIPTION_1";
"900324";"RETRAITE DES ADMINISTRATIFS (OA)";"90032400";"RETRAITE DES ADMINISTRATIFS (OA)";
"900331";"LICENCIEMENT PRODUCTIFS (OA)";"90033100";"LICENCIEMENT PRODUCTIFS (OA)";
"900332";"LICENCIEMENT SUPPORT PRODUITS (OA)";"90033200";"LICENCIEMENT SUPPORT PRODUITS (OA)";
"900333";"LICENCIEMENT COMMERCIAUX (OA)";"90033300";"LICENCIEMENT COMMERCIAUX (OA)";
"900334";"LICENCIEMENT ADMINISTRATIFS (OA)";"90033400";"LICENCIEMENT ADMINISTRATIFS (OA)";
"900341";"FRAIS DE DEPLACEMENTS PRODUCTIFS (OA)";"90034100";"FRAIS DE DEPLACEMENTS PRODUCTIFS (OA)";
"900342";"FRAIS DE DEPLACEMENTS SUPPORT PRODUIT (OA)";"90034200";"FRAIS DE DEPLACEMENTS SUPPORT PRODUIT (OA)";
"900343";"FRAIS DE DEPLACEMENTS COMMERCIAUX (OA)";"90034300";"FRAIS DE DEPLACEMENTS COMMERCIAUX (OA)";
"900344";"FRAIS DE DEPLACEMENTS ADMINISTRATIFS (OA)";"90034400";"FRAIS DE DEPLACEMENTS ADMINISTRATIFS (OA)";
"900350";"COUTS DE MARKETING (OA)";"90035000";"COUTS DE MARKETING (OA)";
"900352";"AMORTISSEMENT DES R&D (OA)";"90035200";"AMORTISSEMENT DES R&D (OA)";
"900353";"ALLOCATION S&M";"90035300";"ALLOCATION S&M";
"900354";"ALLOCATION G&A";"90035400";"ALLOCATION G&A";
"900360";"VENTES GROUPE REVENUS";"90036000";"VENTES GROUPE REVENUS";
"900361";"REBILL VENTES";"90036100";"REBILL VENTES";
"900362";"REFACTURATION LOCATION IMMOBILIERE GROUPE (OA)";"90036200";"REFACTURATION LOCATION IMMOBILIERE GROUPE (OA)";
"900363";"SP VENTES INTERNES";"90036300";"SP VENTES INTERNES";
"900364";"SP REBILL VENTES";"90036400";"SP REBILL VENTES";
"900367";"INTERCOMPANY REVENUE BLENDED";"90036700";"INTERCOMPANY REVENUE BLENDED";
"900380";"ACHATS GROUPE";"90038000";"ACHATS GROUPE";
"900381";"REBILL ACHATS";"90038100";"REBILL ACHATS";
"900382";"COUTS LOCATION IMMOBILIERE GROUPE (OA)";"90038200";"COUTS LOCATION IMMOBILIERE GROUPE (OA)";
"900383";"SP ACHATS INTERNES";"90038300";"SP ACHATS INTERNES";
"900384";"SP REBILL ACHATS";"90038400";"SP REBILL ACHATS";
"900400";"COUTS DE SOUS TRAITANCE REGIE (OA)";"90040000";"COUTS DE SOUS TRAITANCE REGIE (OA)";
"900401";"COUTS DE SOUS TRAITANCE PROJET (OA)";"90040100";"COUTS DE SOUS TRAITANCE PROJET (OA)";
"900402";"SOUS-TRAITANCE TMA";"90040200";"SOUS-TRAITANCE TMA";
"900403";"SOUS-TRAITANCE INFRASTRUCTURE";"90040300";"SOUS-TRAITANCE INFRASTRUCTURE";
"900405";"SOUS-TRAITANCE MAINTENANCE";"90040500";"SOUS-TRAITANCE MAINTENANCE";
"900406";"SOUS-TRAITANCE R&D";"90040600";"SOUS-TRAITANCE R&D";
"900407";"SOUS-TRAITANCE DEVELOPPEMENT";"90040700";"SOUS-TRAITANCE DEVELOPPEMENT";
"900410";"COUTS D'HEBERGEMENT (OA)";"90041000";"COUTS D'HEBERGEMENT (OA)";
"900420";"COUTS D'ACHAT POUR REVENTE LICENCES (OA)";"90042000";"COUTS D'ACHAT POUR REVENTE LICENCES (OA)";
"900421";"COUTS D'ACHAT POUR REVENTE MAINTENANCE (OA)";"90042100";"COUTS D'ACHAT POUR REVENTE MAINTENANCE (OA)";
